Штрих-код;Артикул;Наименование;Бренд;ЦенаОпт;ЦенаРозн;Страна-производитель;Размер;Качественный Состав;Цвет;Цвет для фильтра;Пол;Сезон;Сезон для фильтра;Стиль;Изображение;Бок;Спина;Доп картинка;alt картинки;Что с чем;Старая цена;Sale,%;Новинка;Архивный;Luxe;Опубликован;В наличии;Описание товара;Теги;Категории Sale;Категории акций и подарков;Категории А;Категории Б;Категории В;Категории Г;Категории Д
;MD1212/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;45%вискоза, 45%ПА, 100%эластан;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MD1212/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;s;45%вискоза, 45%ПА, 100%эластан;светло-серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MD1212/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;45%вискоза, 45%ПА, 100%эластан;светло-серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MD1212/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;s;45%вискоза, 45%ПА, 100%эластан;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MD1212/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;45%вискоза, 45%ПА, 100%эластан;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MD1212/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;s;45%вискоза, 45%ПА, 100%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MD1212/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;45%вискоза, 45%ПА, 100%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MD1212/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;s;45%вискоза, 45%ПА, 100%эластан;белый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MD1212/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;45%вискоза, 45%ПА, 100%эластан;белый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MD1212/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;s;45%вискоза, 45%ПА, 100%эластан;хаки;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MD1212/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;45%вискоза, 45%ПА, 100%эластан;хаки;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;CD7837/0816;Кардиган Бьюти Вуман;Beaty Woman;;;;m;60%вискоза, 25%ПА, 10%эластан;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;CD7837/0816;Кардиган Бьюти Вуман;Beaty Woman;;;;xl;60%вискоза, 25%ПА, 10%эластан;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;CD7837/0816;Кардиган Бьюти Вуман;Beaty Woman;;;;m;60%вискоза, 25%ПА, 10%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;CD7837/0816;Кардиган Бьюти Вуман;Beaty Woman;;;;xl;60%вискоза, 25%ПА, 10%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;CD7837/0816;Кардиган Бьюти Вуман;Beaty Woman;;;;m;60%вискоза, 25%ПА, 10%эластан;бежевый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;CD7837/0816;Кардиган Бьюти Вуман;Beaty Woman;;;;xl;60%вискоза, 25%ПА, 10%эластан;бежевый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6360/0816;Платье Бьюти Вуман;Beaty Woman;;;;s;35%вискоза, 30%ПА, 25%Модал, 10%эластан;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6360/0816;Платье Бьюти Вуман;Beaty Woman;;;;l;35%вискоза, 30%ПА, 25%Модал, 10%эластан;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6360/0816;Платье Бьюти Вуман;Beaty Woman;;;;s;35%вискоза, 30%ПА, 25%Модал, 10%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6360/0816;Платье Бьюти Вуман;Beaty Woman;;;;l;35%вискоза, 30%ПА, 25%Модал, 10%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6360/0816;Платье Бьюти Вуман;Beaty Woman;;;;s;35%вискоза, 30%ПА, 25%Модал, 10%эластан;хаки;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6360/0816;Платье Бьюти Вуман;Beaty Woman;;;;l;35%вискоза, 30%ПА, 25%Модал, 10%эластан;хаки;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6360/0816;Платье Бьюти Вуман;Beaty Woman;;;;s;35%вискоза, 30%ПА, 25%Модал, 10%эластан;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6360/0816;Платье Бьюти Вуман;Beaty Woman;;;;l;35%вискоза, 30%ПА, 25%Модал, 10%эластан;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;LJ661/0816;Платье Бьюти Вуман;Beaty Woman;;;;s;100%акрил;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;LJ661/0816;Платье Бьюти Вуман;Beaty Woman;;;;l;100%акрил;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;LJ661/0816;Платье Бьюти Вуман;Beaty Woman;;;;s;100%акрил;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;LJ661/0816;Платье Бьюти Вуман;Beaty Woman;;;;l;100%акрил;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;LJ661/0816;Платье Бьюти Вуман;Beaty Woman;;;;s;100%акрил;белый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;LJ661/0816;Платье Бьюти Вуман;Beaty Woman;;;;l;100%акрил;белый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;CD7815/0816;Платье Бьюти Вуман;Beaty Woman;;;;s;100%акрил;черно-белый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;CD7815/0816;Платье Бьюти Вуман;Beaty Woman;;;;l;100%акрил;черно-белый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;YA5566/0816;Кардиган Бьюти Вуман;Beaty Woman;;;;m;35%вискоза, 30%ПА, 25%Модал, 10%эластан;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;YA5566/0816;Кардиган Бьюти Вуман;Beaty Woman;;;;xl;35%вискоза, 30%ПА, 25%Модал, 10%эластан;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;YA5566/0816;Кардиган Бьюти Вуман;Beaty Woman;;;;m;35%вискоза, 30%ПА, 25%Модал, 10%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;YA5566/0816;Кардиган Бьюти Вуман;Beaty Woman;;;;xl;35%вискоза, 30%ПА, 25%Модал, 10%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;YA5566/0816;Кардиган Бьюти Вуман;Beaty Woman;;;;m;35%вискоза, 30%ПА, 25%Модал, 10%эластан;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;YA5566/0816;Кардиган Бьюти Вуман;Beaty Woman;;;;xl;35%вискоза, 30%ПА, 25%Модал, 10%эластан;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;DN958/0816;Платье Бьюти Вуман;Beaty Woman;;;;s;52%вискоза, 38%ПА, 10%эластан;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;DN958/0816;Платье Бьюти Вуман;Beaty Woman;;;;l;52%вискоза, 38%ПА, 10%эластан;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;DN958/0816;Платье Бьюти Вуман;Beaty Woman;;;;s;52%вискоза, 38%ПА, 10%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;DN958/0816;Платье Бьюти Вуман;Beaty Woman;;;;l;52%вискоза, 38%ПА, 10%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;DN958/0816;Платье Бьюти Вуман;Beaty Woman;;;;s;52%вискоза, 38%ПА, 10%эластан;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;DN958/0816;Платье Бьюти Вуман;Beaty Woman;;;;l;52%вискоза, 38%ПА, 10%эластан;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;TF710/0816;Платье Бьюти Вуман;Beaty Woman;;;;s;82%вискоза, 18%ПА;черно-белый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;TF710/0816;Платье Бьюти Вуман;Beaty Woman;;;;l;82%вискоза, 18%ПА;черно-белый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6370/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;s;52%вискоза, 38%ПА, 10%эластан;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6370/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;52%вискоза, 38%ПА, 10%эластан;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6370/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;s;52%вискоза, 38%ПА, 10%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6370/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;52%вискоза, 38%ПА, 10%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6370/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;s;52%вискоза, 38%ПА, 10%эластан;хаки;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6370/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;52%вискоза, 38%ПА, 10%эластан;хаки;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6370/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;s;52%вискоза, 38%ПА, 10%эластан;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6370/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;52%вискоза, 38%ПА, 10%эластан;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6370/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;s;52%вискоза, 38%ПА, 10%эластан;розовый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6370/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;52%вискоза, 38%ПА, 10%эластан;розовый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6370/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;s;52%вискоза, 38%ПА, 10%эластан;молочный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6370/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;52%вискоза, 38%ПА, 10%эластан;молочный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6370/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;s;52%вискоза, 38%ПА, 10%эластан;белый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6370/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;52%вискоза, 38%ПА, 10%эластан;белый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;YA5520/0816;Платье Бьюти Вуман;Beaty Woman;;;;s;52%вискоза, 38%ПА, 10%эластан;черно-белый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;YA5520/0816;Платье Бьюти Вуман;Beaty Woman;;;;l;52%вискоза, 38%ПА, 10%эластан;черно-белый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;m;51% вискоза, 29%ПА, 20%эластан;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xl;51% вискоза, 29%ПА, 20%эластан;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;m;51% вискоза, 29%ПА, 20%эластан;молочный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xl;51% вискоза, 29%ПА, 20%эластан;молочный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;m;51% вискоза, 29%ПА, 20%эластан;хаки;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xl;51% вискоза, 29%ПА, 20%эластан;хаки;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;m;51% вискоза, 29%ПА, 20%эластан;бордовый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xl;51% вискоза, 29%ПА, 20%эластан;бордовый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;m;51% вискоза, 29%ПА, 20%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xl;51% вискоза, 29%ПА, 20%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;m;51% вискоза, 29%ПА, 20%эластан;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xl;51% вискоза, 29%ПА, 20%эластан;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6319/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;s;35%вискоза, 30%ПА, 25%Модал, 10%эластан;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6319/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;35%вискоза, 30%ПА, 25%Модал, 10%эластан;черный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6319/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;s;35%вискоза, 30%ПА, 25%Модал, 10%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6319/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;35%вискоза, 30%ПА, 25%Модал, 10%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6319/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;s;35%вискоза, 30%ПА, 25%Модал, 10%эластан;хаки;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;JT6319/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;35%вискоза, 30%ПА, 25%Модал, 10%эластан;хаки;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
